2MB 0 ? 2048 141744
2MB ? 0 2048 234003
2MB 0 ? 2048 123442
2MB ? 0 2048 172503
2MB 0 ? 2048 122986
2MB ? 0 2048 171996
2MB 0 ? 2048 115001
2MB ? 0 2048 163080
2MB 0 ? 2048 114881
2MB ? 0 2048 162532
2MB 0 ? 2048 123067
2MB ? 0 2048 178562
2MB 0 ? 2048 107667
2MB ? 0 2048 142187
2MB 0 ? 2048 106463
2MB ? 0 2048 159103
2MB 0 ? 2048 106665
2MB ? 0 2048 183536
2MB 0 ? 2048 114998
2MB ? 0 2048 95303
2MB 0 ? 2048 122943
2MB ? 0 2048 149821
2MB 0 ? 2048 131206
2MB ? 0 2048 189955
2MB 0 ? 2048 123066
2MB ? 0 2048 164431
2MB 0 ? 2048 123429
2MB ? 0 2048 146555
2MB 0 ? 2048 115008
2MB ? 0 2048 162962
2MB 0 ? 2048 106724
2MB ? 0 2048 162207
2MB 0 ? 2048 106665
2MB ? 0 2048 145001
2MB 0 ? 2048 107922
2MB ? 0 2048 259630
2MB 0 ? 2048 123154
2MB ? 0 2048 136544
2MB 0 ? 2048 123036
2MB ? 0 2048 166833
4MB 0 ? 4096 148082
4MB ? 0 4096 157855
4MB 0 ? 4096 164732
4MB ? 0 4096 165469
4MB 0 ? 4096 139987
4MB ? 0 4096 206179
4MB 0 ? 4096 148061
4MB ? 0 4096 239389
4MB 0 ? 4096 148013
4MB ? 0 4096 155325
4MB 0 ? 4096 139925
4MB ? 0 4096 153963
4MB 0 ? 4096 147894
4MB ? 0 4096 137622
4MB 0 ? 4096 140021
4MB ? 0 4096 204773
4MB 0 ? 4096 157792
4MB ? 0 4096 161629
4MB 0 ? 4096 148251
4MB ? 0 4096 160863
4MB 0 ? 4096 147987
4MB ? 0 4096 161389
4MB 0 ? 4096 139909
4MB ? 0 4096 151045
4MB 0 ? 4096 139841
4MB ? 0 4096 167240
4MB 0 ? 4096 148060
4MB ? 0 4096 166170
4MB 0 ? 4096 148053
4MB ? 0 4096 149037
4MB 0 ? 4096 147923
4MB ? 0 4096 139997
4MB 0 ? 4096 139849
4MB ? 0 4096 95725
4MB 0 ? 4096 139991
4MB ? 0 4096 155418
4MB 0 ? 4096 139796
4MB ? 0 4096 187704
4MB 0 ? 4096 156183
4MB ? 0 4096 152930
8MB 0 ? 8192 190066
8MB ? 0 8192 151876
8MB 0 ? 8192 197284
8MB ? 0 8192 159747
8MB 0 ? 8192 206478
8MB ? 0 8192 175981
8MB 0 ? 8192 206254
8MB ? 0 8192 167193
8MB 0 ? 8192 206574
8MB ? 0 8192 141699
8MB 0 ? 8192 273133
8MB ? 0 8192 157080
8MB 0 ? 8192 190094
8MB ? 0 8192 131517
8MB 0 ? 8192 181546
8MB ? 0 8192 230922
8MB 0 ? 8192 189747
8MB ? 0 8192 146970
8MB 0 ? 8192 181727
8MB ? 0 8192 146265
8MB 0 ? 8192 198052
8MB ? 0 8192 152602
8MB 0 ? 8192 198085
8MB ? 0 8192 151789
8MB 0 ? 8192 198447
8MB ? 0 8192 142998
8MB 0 ? 8192 239694
8MB ? 0 8192 167343
8MB 0 ? 8192 198380
8MB ? 0 8192 249632
8MB 0 ? 8192 189778
8MB ? 0 8192 132751
8MB 0 ? 8192 181809
8MB ? 0 8192 181898
8MB 0 ? 8192 189604
8MB ? 0 8192 139975
8MB 0 ? 8192 181440
8MB ? 0 8192 155782
8MB 0 ? 8192 189468
8MB ? 0 8192 163654
16MB 0 ? 16384 348335
16MB ? 0 16384 145849
16MB 0 ? 16384 339781
16MB ? 0 16384 129128
16MB 0 ? 16384 354904
16MB ? 0 16384 177094
16MB 0 ? 16384 323061
16MB ? 0 16384 167952
16MB 0 ? 16384 364879
16MB ? 0 16384 103107
16MB 0 ? 16384 314775
16MB ? 0 16384 166598
16MB 0 ? 16384 364751
16MB ? 0 16384 183011
16MB 0 ? 16384 356457
16MB ? 0 16384 223434
16MB 0 ? 16384 314956
16MB ? 0 16384 164676
16MB 0 ? 16384 381102
16MB ? 0 16384 85721
16MB 0 ? 16384 314582
16MB ? 0 16384 146732
16MB 0 ? 16384 347947
16MB ? 0 16384 104925
16MB 0 ? 16384 314842
16MB ? 0 16384 144191
16MB 0 ? 16384 356563
16MB ? 0 16384 94408
16MB 0 ? 16384 314728
16MB ? 0 16384 226215
16MB 0 ? 16384 372807
16MB ? 0 16384 86378
16MB 0 ? 16384 381357
16MB ? 0 16384 301160
16MB 0 ? 16384 389769
16MB ? 0 16384 196577
16MB 0 ? 16384 323613
16MB ? 0 16384 149657
16MB 0 ? 16384 331390
16MB ? 0 16384 94189
32MB 0 ? 32768 598311
32MB ? 0 32768 93790
32MB 0 ? 32768 610432
32MB ? 0 32768 93648
32MB 0 ? 32768 558808
32MB ? 0 32768 93705
32MB 0 ? 32768 524083
32MB ? 0 32768 99443
32MB 0 ? 32768 574104
32MB ? 0 32768 110832
32MB 0 ? 32768 523403
32MB ? 0 32768 233917
32MB 0 ? 32768 548438
32MB ? 0 32768 94317
32MB 0 ? 32768 573764
32MB ? 0 32768 94416
32MB 0 ? 32768 540635
32MB ? 0 32768 94215
32MB 0 ? 32768 540798
32MB ? 0 32768 93817
32MB 0 ? 32768 532026
32MB ? 0 32768 85855
32MB 0 ? 32768 534099
32MB ? 0 32768 77124
32MB 0 ? 32768 548482
32MB ? 0 32768 97925
32MB 0 ? 32768 532201
32MB ? 0 32768 85601
32MB 0 ? 32768 515817
32MB ? 0 32768 91711
32MB 0 ? 32768 549147
32MB ? 0 32768 226948
32MB 0 ? 32768 532574
32MB ? 0 32768 102230
32MB 0 ? 32768 557060
32MB ? 0 32768 94359
