2GB 0 ? ? ? -1 ? 1992294 20828258
2GB ? 0 ? ? -1 ? 1992294 13378899
2GB 0 ? ? ? -1 ? 1992294 15828480
2GB ? 0 ? ? -1 ? 1992294 12277743
2GB 0 ? ? ? -1 ? 1992294 15340362
2GB ? 0 ? ? -1 ? 1992294 11824425
2GB 0 ? ? ? -1 ? 1992294 15610743
2GB ? 0 ? ? -1 ? 1992294 12076283
2GB 0 ? ? ? -1 ? 1992294 15583545
2GB ? 0 ? ? -1 ? 1992294 11606131
2GB 0 ? ? ? -1 ? 1992294 15680670
2GB ? 0 ? ? -1 ? 1992294 11559627
2GB 0 ? ? ? -1 ? 1992294 18720976
2GB ? 0 ? ? -1 ? 1992294 11773048
2GB 0 ? ? ? -1 ? 1992294 15595769
2GB ? 0 ? ? -1 ? 1992294 11258285
2GB 0 ? ? ? -1 ? 1992294 15557220
2GB ? 0 ? ? -1 ? 1992294 11596901
2GB 0 ? ? ? -1 ? 1992294 15534455
2GB ? 0 ? ? -1 ? 1992294 12774464
2GB 0 ? ? ? -1 ? 1992294 15834795
2GB ? 0 ? ? -1 ? 1992294 11552426
2GB 0 ? ? ? -1 ? 1992294 19097377
2GB ? 0 ? ? -1 ? 1992294 11663397
2GB 0 ? ? ? -1 ? 1992294 15325891
2GB ? 0 ? ? -1 ? 1992294 12047374
2GB 0 ? ? ? -1 ? 1992294 15860030
2GB ? 0 ? ? -1 ? 1992294 11337730
2GB 0 ? ? ? -1 ? 1992294 16527071
2GB ? 0 ? ? -1 ? 1992294 12106288
2GB 0 ? ? ? -1 ? 1992294 16114406
2GB ? 0 ? ? -1 ? 1992294 11483358
2GB 0 ? ? ? -1 ? 1992294 15557100
2GB ? 0 ? ? -1 ? 1992294 11718780
2GB 0 ? ? ? -1 ? 1992294 16317958
2GB ? 0 ? ? -1 ? 1992294 12332299
2GB 0 ? ? ? -1 ? 1992294 15502090
2GB ? 0 ? ? -1 ? 1992294 11977237
2GB 0 ? ? ? -1 ? 1992294 16266085
2GB ? 0 ? ? -1 ? 1992294 11645009
2GB ? ? 0 ? -1 10000 ? 605154
2GB ? ? 0 ? -1 10000 ? 564346
2GB ? ? 0 ? -1 10000 ? 698979
2GB ? ? 0 ? -1 10000 ? 487027
2GB ? ? 0 ? -1 10000 ? 465167
2GB ? ? 0 ? -1 10000 ? 1034481
2GB ? ? 0 ? -1 10000 ? 731128
2GB ? ? 0 ? -1 10000 ? 476935
2GB ? ? 0 ? -1 10000 ? 454705
2GB ? ? 0 ? -1 10000 ? 468468
2GB ? ? 0 ? -1 10000 ? 502034
2GB ? ? 0 ? -1 10000 ? 558810
2GB ? ? 0 ? -1 10000 ? 460025
2GB ? ? 0 ? -1 10000 ? 835482
2GB ? ? 0 ? -1 10000 ? 958628
2GB ? ? 0 ? -1 10000 ? 448943
2GB ? ? 0 ? -1 10000 ? 684847
2GB ? ? 0 ? -1 10000 ? 585440
2GB ? ? 0 ? -1 10000 ? 589833
2GB ? ? 0 ? -1 10000 ? 476031
4GB 0 ? ? ? -1 ? 3984588 30800178
4GB ? 0 ? ? -1 ? 3984588 28330772
4GB 0 ? ? ? -1 ? 3984588 31105693
4GB ? 0 ? ? -1 ? 3984588 30929601
4GB 0 ? ? ? -1 ? 3984588 36812252
4GB ? 0 ? ? -1 ? 3984588 28415105
4GB 0 ? ? ? -1 ? 3984588 31194288
4GB ? 0 ? ? -1 ? 3984588 30538771
4GB 0 ? ? ? -1 ? 3984588 30729118
4GB ? 0 ? ? -1 ? 3984588 27686045
4GB 0 ? ? ? -1 ? 3984588 33370032
4GB ? 0 ? ? -1 ? 3984588 27687889
4GB 0 ? ? ? -1 ? 3984588 32232733
4GB ? 0 ? ? -1 ? 3984588 27698076
4GB 0 ? ? ? -1 ? 3984588 31707181
4GB ? 0 ? ? -1 ? 3984588 30213360
4GB 0 ? ? ? -1 ? 3984588 30560119
4GB ? 0 ? ? -1 ? 3984588 27632871
4GB 0 ? ? ? -1 ? 3984588 31194960
4GB ? 0 ? ? -1 ? 3984588 27785775
4GB 0 ? ? ? -1 ? 3984588 31605836
4GB ? 0 ? ? -1 ? 3984588 30650326
4GB 0 ? ? ? -1 ? 3984588 32155156
4GB ? 0 ? ? -1 ? 3984588 29254402
4GB 0 ? ? ? -1 ? 3984588 30142319
4GB ? 0 ? ? -1 ? 3984588 32503160
4GB 0 ? ? ? -1 ? 3984588 30768734
4GB ? 0 ? ? -1 ? 3984588 28274383
4GB 0 ? ? ? -1 ? 3984588 31977989
4GB ? 0 ? ? -1 ? 3984588 30123547
4GB 0 ? ? ? -1 ? 3984588 31298456
4GB ? 0 ? ? -1 ? 3984588 28602601
4GB 0 ? ? ? -1 ? 3984588 31119369
4GB ? 0 ? ? -1 ? 3984588 27792075
4GB 0 ? ? ? -1 ? 3984588 30628849
4GB ? 0 ? ? -1 ? 3984588 27834931
4GB 0 ? ? ? -1 ? 3984588 33146382
4GB ? 0 ? ? -1 ? 3984588 28584686
4GB 0 ? ? ? -1 ? 3984588 31735401
4GB ? 0 ? ? -1 ? 3984588 28201836
4GB ? ? 0 ? -1 10000 ? 593265
4GB ? ? 0 ? -1 10000 ? 1229547
4GB ? ? 0 ? -1 10000 ? 497128
4GB ? ? 0 ? -1 10000 ? 570370
4GB ? ? 0 ? -1 10000 ? 469386
4GB ? ? 0 ? -1 10000 ? 497326
4GB ? ? 0 ? -1 10000 ? 895197
4GB ? ? 0 ? -1 10000 ? 738131
4GB ? ? 0 ? -1 10000 ? 479010
4GB ? ? 0 ? -1 10000 ? 546622
4GB ? ? 0 ? -1 10000 ? 486453
4GB ? ? 0 ? -1 10000 ? 612330
4GB ? ? 0 ? -1 10000 ? 473928
4GB ? ? 0 ? -1 10000 ? 491638
4GB ? ? 0 ? -1 10000 ? 1273049
4GB ? ? 0 ? -1 10000 ? 514301
4GB ? ? 0 ? -1 10000 ? 840062
4GB ? ? 0 ? -1 10000 ? 513586
4GB ? ? 0 ? -1 10000 ? 579508
4GB ? ? 0 ? -1 10000 ? 585916
8GB 0 ? ? ? -1 ? 7969177 61582270
8GB ? 0 ? ? -1 ? 7969177 63172005
8GB 0 ? ? ? -1 ? 7969177 60977245
8GB ? 0 ? ? -1 ? 7969177 61152705
8GB 0 ? ? ? -1 ? 7969177 60864457
8GB ? 0 ? ? -1 ? 7969177 68172002
8GB 0 ? ? ? -1 ? 7969177 64032824
8GB ? 0 ? ? -1 ? 7969177 60251946
8GB 0 ? ? ? -1 ? 7969177 63229253
8GB ? 0 ? ? -1 ? 7969177 61764659
8GB 0 ? ? ? -1 ? 7969177 64322353
8GB ? 0 ? ? -1 ? 7969177 59414094
8GB 0 ? ? ? -1 ? 7969177 62473606
8GB ? 0 ? ? -1 ? 7969177 60850343
8GB 0 ? ? ? -1 ? 7969177 61790677
8GB ? 0 ? ? -1 ? 7969177 59487393
8GB 0 ? ? ? -1 ? 7969177 63652607
8GB ? 0 ? ? -1 ? 7969177 63968319
8GB 0 ? ? ? -1 ? 7969177 60455621
8GB ? 0 ? ? -1 ? 7969177 63137633
8GB 0 ? ? ? -1 ? 7969177 60521128
8GB ? 0 ? ? -1 ? 7969177 63853515
8GB 0 ? ? ? -1 ? 7969177 88511656
8GB ? 0 ? ? -1 ? 7969177 59825473
8GB 0 ? ? ? -1 ? 7969177 61271838
8GB ? 0 ? ? -1 ? 7969177 95644539
8GB 0 ? ? ? -1 ? 7969177 61285312
8GB ? 0 ? ? -1 ? 7969177 60532861
8GB 0 ? ? ? -1 ? 7969177 63128156
8GB ? 0 ? ? -1 ? 7969177 60781141
8GB 0 ? ? ? -1 ? 7969177 66352948
8GB ? 0 ? ? -1 ? 7969177 59355980
8GB 0 ? ? ? -1 ? 7969177 64979979
8GB ? 0 ? ? -1 ? 7969177 60436399
8GB 0 ? ? ? -1 ? 7969177 61951604
8GB ? 0 ? ? -1 ? 7969177 59929543
8GB 0 ? ? ? -1 ? 7969177 63510084
8GB ? 0 ? ? -1 ? 7969177 59182912
8GB 0 ? ? ? -1 ? 7969177 61526158
8GB ? 0 ? ? -1 ? 7969177 61382243
8GB ? ? 0 ? -1 10000 ? 651677
8GB ? ? 0 ? -1 10000 ? 756933
8GB ? ? 0 ? -1 10000 ? 496385
8GB ? ? 0 ? -1 10000 ? 836605
8GB ? ? 0 ? -1 10000 ? 608073
8GB ? ? 0 ? -1 10000 ? 939881
8GB ? ? 0 ? -1 10000 ? 1555310
8GB ? ? 0 ? -1 10000 ? 1016108
8GB ? ? 0 ? -1 10000 ? 1079916
8GB ? ? 0 ? -1 10000 ? 1085982
8GB ? ? 0 ? -1 10000 ? 906972
8GB ? ? 0 ? -1 10000 ? 552323
8GB ? ? 0 ? -1 10000 ? 644739
8GB ? ? 0 ? -1 10000 ? 492608
8GB ? ? 0 ? -1 10000 ? 474788
8GB ? ? 0 ? -1 10000 ? 596284
8GB ? ? 0 ? -1 10000 ? 643080
8GB ? ? 0 ? -1 10000 ? 540236
8GB ? ? 0 ? -1 10000 ? 681752
8GB ? ? 0 ? -1 10000 ? 494412
2GB 0 ? ? ? 0 ? 1992294 16476730
2GB ? 0 ? ? 0 ? 1992294 12813189
2GB 0 ? ? ? 0 ? 1992294 16353744
2GB ? 0 ? ? 0 ? 1992294 11880833
2GB 0 ? ? ? 0 ? 1992294 16605456
2GB ? 0 ? ? 0 ? 1992294 13420651
2GB 0 ? ? ? 0 ? 1992294 16273679
2GB ? 0 ? ? 0 ? 1992294 13492865
2GB 0 ? ? ? 0 ? 1992294 16357692
2GB ? 0 ? ? 0 ? 1992294 13537510
2GB 0 ? ? ? 0 ? 1992294 16516661
2GB ? 0 ? ? 0 ? 1992294 16975265
2GB 0 ? ? ? 0 ? 1992294 16785672
2GB ? 0 ? ? 0 ? 1992294 18686111
2GB 0 ? ? ? 0 ? 1992294 16339960
2GB ? 0 ? ? 0 ? 1992294 14029261
2GB 0 ? ? ? 0 ? 1992294 16086881
2GB ? 0 ? ? 0 ? 1992294 13370235
