1MB 0 ? 1024 138052
1MB ? 0 1024 83427
1MB 0 ? 1024 106641
1MB ? 0 1024 53387
1MB 0 ? 1024 123890
1MB ? 0 1024 53207
1MB 0 ? 1024 123790
1MB ? 0 1024 44473
1MB 0 ? 1024 115622
1MB ? 0 1024 44942
1MB 0 ? 1024 123828
1MB ? 0 1024 52826
1MB 0 ? 1024 116908
1MB ? 0 1024 52458
1MB 0 ? 1024 107321
1MB ? 0 1024 44309
1MB 0 ? 1024 120164
1MB ? 0 1024 46052
1MB 0 ? 1024 107225
1MB ? 0 1024 46139
1MB 0 ? 1024 107218
1MB ? 0 1024 44579
1MB 0 ? 1024 115584
1MB ? 0 1024 44071
1MB 0 ? 1024 123764
1MB ? 0 1024 45013
1MB 0 ? 1024 123317
1MB ? 0 1024 42475
1MB 0 ? 1024 132075
1MB ? 0 1024 52845
1MB 0 ? 1024 123856
1MB ? 0 1024 52854
1MB 0 ? 1024 107100
1MB ? 0 1024 52892
1MB 0 ? 1024 108475
1MB ? 0 1024 46589
1MB 0 ? 1024 98352
1MB ? 0 1024 48892
1MB 0 ? 1024 106325
1MB ? 0 1024 44996
2MB 0 ? 2048 122467
2MB ? 0 2048 53451
2MB 0 ? 2048 123795
2MB ? 0 2048 44273
2MB 0 ? 2048 140228
2MB ? 0 2048 44493
2MB 0 ? 2048 123971
2MB ? 0 2048 44382
2MB 0 ? 2048 107015
2MB ? 0 2048 173474
2MB 0 ? 2048 115598
2MB ? 0 2048 52763
2MB 0 ? 2048 107085
2MB ? 0 2048 52521
2MB 0 ? 2048 98807
2MB ? 0 2048 44167
2MB 0 ? 2048 123908
2MB ? 0 2048 44749
2MB 0 ? 2048 107099
2MB ? 0 2048 53263
2MB 0 ? 2048 123833
2MB ? 0 2048 44313
2MB 0 ? 2048 131642
2MB ? 0 2048 44417
2MB 0 ? 2048 114715
2MB ? 0 2048 44995
2MB 0 ? 2048 123808
2MB ? 0 2048 52883
2MB 0 ? 2048 106810
2MB ? 0 2048 139807
2MB 0 ? 2048 98072
2MB ? 0 2048 52433
2MB 0 ? 2048 98855
2MB ? 0 2048 44162
2MB 0 ? 2048 107124
2MB ? 0 2048 46354
2MB 0 ? 2048 114941
2MB ? 0 2048 46146
2MB 0 ? 2048 114860
2MB ? 0 2048 53045
4MB 0 ? 4096 132145
4MB ? 0 4096 44286
4MB 0 ? 4096 132235
4MB ? 0 4096 44386
4MB 0 ? 4096 132860
4MB ? 0 4096 53185
4MB 0 ? 4096 123387
4MB ? 0 4096 53281
4MB 0 ? 4096 140517
4MB ? 0 4096 53195
4MB 0 ? 4096 131483
4MB ? 0 4096 52673
4MB 0 ? 4096 140534
4MB ? 0 4096 45555
4MB 0 ? 4096 131902
4MB ? 0 4096 46617
4MB 0 ? 4096 140526
4MB ? 0 4096 45125
4MB 0 ? 4096 131729
4MB ? 0 4096 54248
4MB 0 ? 4096 140684
4MB ? 0 4096 44283
4MB 0 ? 4096 131898
4MB ? 0 4096 43436
4MB 0 ? 4096 123921
4MB ? 0 4096 111584
4MB 0 ? 4096 131686
4MB ? 0 4096 53186
4MB 0 ? 4096 139625
4MB ? 0 4096 52460
4MB 0 ? 4096 132162
4MB ? 0 4096 52270
4MB 0 ? 4096 123881
4MB ? 0 4096 45526
4MB 0 ? 4096 131892
4MB ? 0 4096 60994
4MB 0 ? 4096 182038
4MB ? 0 4096 44439
4MB 0 ? 4096 123870
4MB ? 0 4096 44445
8MB 0 ? 8192 190562
8MB ? 0 8192 268147
8MB 0 ? 8192 198848
8MB ? 0 8192 111642
8MB 0 ? 8192 164830
8MB ? 0 8192 53388
8MB 0 ? 8192 164605
8MB ? 0 8192 45087
8MB 0 ? 8192 173551
8MB ? 0 8192 44499
8MB 0 ? 8192 182125
8MB ? 0 8192 46156
8MB 0 ? 8192 231490
8MB ? 0 8192 54351
8MB 0 ? 8192 198889
8MB ? 0 8192 44459
8MB 0 ? 8192 190579
8MB ? 0 8192 53217
8MB 0 ? 8192 207123
8MB ? 0 8192 53467
8MB 0 ? 8192 182092
8MB ? 0 8192 111317
8MB 0 ? 8192 183384
8MB ? 0 8192 61337
8MB 0 ? 8192 173803
8MB ? 0 8192 53031
8MB 0 ? 8192 165492
8MB ? 0 8192 61105
8MB 0 ? 8192 210824
8MB ? 0 8192 45838
8MB 0 ? 8192 182095
8MB ? 0 8192 46313
8MB 0 ? 8192 181864
8MB ? 0 8192 44508
8MB 0 ? 8192 182188
8MB ? 0 8192 60982
8MB 0 ? 8192 198258
8MB ? 0 8192 44257
